时间,静压,总压,总温,气压高度,指示空速,真空速,马赫数,垂直速度,大气静温
411.1,73843.5595653389,103629.693329335,302.584807532304,2589.8184696368,210.340991749512,250.659720272374,0.759104498894626,7.7829860136187,271.316179947361
411.2,73836.326900962,103581.607851133,302.539341855922,2590.59636318858,210.209039464791,250.497700440458,0.758620902714327,7.77488502202289,271.311123639274
411.3,73829.1023694118,103533.278374313,302.493607595803,2591.37344363121,210.076159478638,250.334476611549,0.75813364391863,7.76672383057744,271.306072616397
411.4,73821.8860246683,103484.707109319,302.447606982311,2592.14970496081,209.942356445354,250.170055229444,0.757642741879776,7.7585027614722,271.301026917755
411.5,73814.6779203952,103435.896276563,302.401342257445,2592.92514120585,209.807635054581,250.004442785218,0.757148216114557,7.75022213926092,271.295986582162
411.6,73807.4781099384,103386.848106249,302.354815674656,2593.69974642736,209.672000031181,249.837645816967,0.756650086283543,7.74188229084836,271.290951648222
411.7,73800.2866463231,103337.564838198,302.308029498667,2594.47351471917,209.535456135122,249.669670909549,0.756148372190311,7.73348354547747,271.285922154325
411.8,73793.1035822529,103288.048721668,302.260986005289,2595.24644020818,209.398008161351,249.500524694327,0.755643093780667,7.72502623471634,271.280898138647
411.9,73785.9289701067,103238.302015176,302.213687481238,2596.01851705454,209.259660939681,249.330213848902,0.755134271141859,7.71651069244512,271.275879639145
412,73778.7628619377,103188.326986318,302.166136223954,2596.7897394519,209.120419334661,249.158745096856,0.754621924501789,7.70793725484282,271.270866693563
412.1,73771.6053094709,103138.125911593,302.118334541413,2597.56010162767,208.980288245455,248.986125207482,0.754106074228217,7.69930626037409,271.26585933942
412.2,73764.4563641012,103087.70107622,302.070284751947,2598.32959784317,208.839272605721,248.812360995516,0.753586740827957,7.69061804977581,271.260857614019
412.3,73757.3160768916,103037.05477396,302.021989184055,2599.09822239396,208.697377383474,248.637459320873,0.753063944946072,7.68187296604366,271.255861554439
412.4,73750.1844985713,102986.189306938,301.973450176223,2599.86596960999,208.55460758097,248.461427088371,0.75253770736506,7.67307135441857,271.250871197535
412.5,73743.0616795336,102935.106985457,301.92467007673,2600.63283385583,208.410968234567,248.284271247462,0.752008049004039,7.66421356237309,271.245886579937
412.6,73735.9476698341,102883.810127823,301.875651243471,2601.39880953093,208.266464414601,248.105998791954,0.75147499091792,7.65529993959769,271.240907738049
412.7,73728.8425191889,102832.301060163,301.826396043761,2602.1638910698,208.121101225251,247.926616759739,0.750938554296577,7.64633083798694,271.235934708046
412.8,73721.7462769729,102780.58211624,301.776906854158,2602.92807294229,207.974883804404,247.746132232512,0.750398760464019,7.63730661162561,271.230967525875
412.9,73714.6589922174,102728.655637278,301.727186060267,2603.69134965371,207.827817323526,247.564552335494,0.749855630877542,7.62822761677469,271.226006227251
413,73707.5807136089,102676.523971777,301.677236056556,2604.45371574514,207.67990698752,247.381884237148,0.749309187126889,7.61909421185737,271.221050847657
413.1,73700.5114894866,102624.18947533,301.627059246169,2605.2151657936,207.531158034591,247.198135148897,0.748759450933397,7.60990675744484,271.216101422342
413.2,73693.4513678414,102571.654510445,301.576658040735,2605.97569441229,207.381575736108,247.013312324841,0.748206444149145,7.60066561624204,271.21115798632
413.3,73686.4003963134,102518.921446364,301.526034860182,2606.73529625075,207.231165396462,246.827423061469,0.747650188756087,7.59137115307344,271.20622057437
413.4,73679.3586221905,102465.992658873,301.475192132546,2607.49396599515,207.079932352926,246.64047469737,0.747090706865192,7.5820237348685,271.201289221032
413.5,73672.3260924064,102412.870530133,301.424132293784,2608.25169836842,206.927881975512,246.452474612946,0.746528020715569,7.5726237306473,271.196363960605
413.6,73665.3028535391,102359.557448486,301.372857787583,2609.00848813053,206.775019666824,246.263430230118,0.745962152673588,7.56317151150591,271.191444827151
413.7,73658.2889518092,102306.055808281,301.321371065173,2609.76433007864,206.621350861915,246.073349012035,0.745393125232006,7.55366745060175,271.186531854489
413.8,73651.2844330775,102252.368009689,301.269674585134,2610.51921904733,206.46688102814,245.882238462778,0.744820961009075,7.54411192313889,271.181625076192
413.9,73644.2893428442,102198.496458519,301.21777081321,2611.2731499088,206.311615665003,245.690106127063,0.744245682747647,7.53450530635316,271.176724525593
414,73637.3037262469,102144.443566043,301.165662222116,2612.02611757309,206.155560304013,245.496959589948,0.743667313314288,7.52484797949738,271.171830235775
